    ID1 ,    ID1+ , Mem ,      Gra ,     Gdec ,    Ks ,  logK ,  Vls , Mem_D ,     D , Sigma_L , Sigma_V , R2t_lum , Rg_dyn , Mass_lum , Mass_dyn
1013939 , 1013939 ,   8 ,   7.7096 ,  -5.1032 , -0.27 , 11.04 ,   26 ,     7 ,  0.65 ,     136 ,      63 ,   0.369 ,  0.584 ,   12.704 ,   12.320
1029478 , 1013939 ,   3 , 341.9729 , -22.9698 ,  6.32 , 10.76 ,  825 ,     3 ,  9.69 ,     106 ,      45 ,   0.286 ,  0.105 ,   12.375 ,   11.288
1039281 , 1013939 ,   2 ,  16.9755 ,  10.5814 ,  8.34 ,  9.75 ,  764 ,     2 ,  7.74 ,      52 ,      20 ,   0.142 ,  0.057 ,   11.456 ,   10.301
1047356 , 1013939 ,   1 ,   4.8297 ,  13.7785 ,  9.04 ,  9.12 ,  593 ,     1 ,  5.14 ,      39 ,       0 ,   0.105 ,    nan ,   11.068 ,      nan
1048634 , 1013939 ,   2 ,  19.9695 ,   9.3033 , 11.23 ,  8.64 ,  795 ,     2 ,  8.13 ,      32 ,       2 ,   0.087 ,  0.023 ,   10.825 ,    8.093
1055222 , 1013939 ,   1 ,  10.6954 ,  -6.7834 ,  9.99 ,  8.56 ,  503 ,     1 ,  4.18 ,      31 ,       0 ,   0.085 ,    nan ,   10.785 ,      nan
1063385 , 1013939 ,   1 , 349.8811 , -17.5141 , 13.26 ,  7.99 ,  880 ,     1 ,  9.82 ,      25 ,       0 ,   0.068 ,    nan ,   10.501 ,      nan
1066772 , 1013939 ,   2 ,  17.9681 ,   7.6131 , 10.37 ,  7.93 ,  410 ,     2 ,  2.42 ,      24 ,      21 ,   0.066 ,  0.015 ,   10.471 ,    9.781
1068854 , 1013939 ,   1 ,  28.5252 ,   8.2773 , 13.15 ,  7.85 ,  835 ,     1 ,  7.94 ,      24 ,       0 ,   0.065 ,    nan ,   10.431 ,      nan
1072990 , 1013939 ,   1 ,  19.9245 ,   8.3012 , 10.89 ,  7.79 ,  439 ,     1 ,  2.61 ,      23 ,       0 ,   0.063 ,    nan ,   10.400 ,      nan
1067083 , 1013939 ,   1 ,  26.3271 , -10.3511 , 13.45 ,  7.60 ,  724 ,     1 ,  6.83 ,      22 ,       0 ,   0.059 ,    nan ,   10.305 ,      nan
1077686 , 1013939 ,   1 ,   1.0916 , -19.6737 , 15.26 ,  7.03 ,  791 ,     1 ,  8.14 ,      17 ,       0 ,   0.047 ,    nan ,   10.021 ,      nan
1087682 , 1013939 ,   1 , 350.3221 ,  19.6721 , 14.45 ,  7.02 ,  596 ,     1 ,  5.54 ,      17 ,       0 ,   0.047 ,    nan ,   10.013 ,      nan
1016697 , 1016697 ,  76 , 287.1462 , -18.0153 ,  0.90 , 11.79 ,  311 ,    76 ,  2.64 ,     264 ,     235 ,   0.715 ,  0.492 ,   13.567 ,   13.394
1030152 , 1016697 ,  15 , 304.1374 ,  -8.5011 ,  5.40 , 11.02 ,  625 ,    15 ,  8.61 ,     134 ,      95 ,   0.362 ,  0.273 ,   12.679 ,   12.352
1035314 , 1016697 ,  11 , 306.9308 ,  -5.8275 ,  6.30 , 10.60 ,  657 ,    11 ,  7.97 ,      92 ,      92 ,   0.249 ,  0.257 ,   12.190 ,   12.303
1013940 , 1016697 ,   4 , 267.5599 , -24.9758 ,  2.50 , 10.58 ,  310 ,     4 ,  1.37 ,      91 ,      83 ,   0.247 ,  0.137 ,   12.179 ,   11.933
1032137 , 1016697 ,   5 , 302.8821 ,  -3.8349 ,  7.00 , 10.30 ,  714 ,     5 ,  7.85 ,      73 ,      94 ,   0.198 ,  0.177 ,   11.893 ,   12.158
1031006 , 1016697 ,   3 , 314.6091 , -16.5794 ,  6.91 , 10.29 ,  568 ,     3 ,  7.46 ,      73 ,       2 ,   0.197 ,  0.083 ,   11.884 ,    8.352
1016699 , 1016697 ,   3 , 283.7659 , -35.7110 ,  5.83 ,  9.90 ,    1 ,     3 ,  2.88 ,      57 ,      12 ,   0.153 ,  0.098 ,   11.560 ,   10.097
1016708 , 1016697 ,   1 , 286.5402 , -18.8645 ,  6.34 ,  9.63 ,  976 ,     1 ,  2.61 ,      49 ,       0 ,   0.133 ,    nan ,   11.375 ,      nan
1040820 , 1016697 ,   2 , 304.9692 ,   2.1280 ,  8.55 ,  9.49 ,  619 ,     2 ,  6.33 ,      46 ,      11 ,   0.124 ,  0.026 ,   11.286 ,    9.444
1013960 , 1016697 ,   2 , 269.7014 , -13.9213 ,  5.31 ,  9.42 ,  451 ,     2 ,  1.30 ,      44 ,      23 ,   0.120 ,  0.076 ,   11.238 ,   10.574
1046176 , 1016697 ,   1 , 304.0910 ,  -5.5979 ,  8.56 ,  9.37 ,  522 ,     1 ,  5.49 ,      43 ,       0 ,   0.117 ,    nan ,   11.207 ,      nan
1013961 , 1016697 ,   1 , 251.1904 , -14.1702 ,  5.19 ,  9.29 , -274 ,     1 ,  1.06 ,      42 ,       0 ,   0.113 ,    nan ,   11.161 ,      nan
