 log10_L ,  log10_M
 8.00000 , 10.50515
 8.00100 , 10.50565
 8.00200 , 10.50615
 8.00300 , 10.50665
 8.00400 , 10.50715
 8.00500 , 10.50765
 8.00600 , 10.50815
 8.00700 , 10.50865
 8.00800 , 10.50915
 8.00900 , 10.50965
 8.01000 , 10.51015
 8.01100 , 10.51065
 8.01200 , 10.51115
 8.01300 , 10.51165
 8.01400 , 10.51215
 8.01500 , 10.51265
 8.01600 , 10.51315
 8.01700 , 10.51365
 8.01800 , 10.51415
 8.01900 , 10.51465
 8.02000 , 10.51515
 8.02100 , 10.51565
 8.02200 , 10.51615
 8.02300 , 10.51665
 8.02400 , 10.51715
 8.02500 , 10.51765
 8.02600 , 10.51815
 8.02700 , 10.51865
 8.02800 , 10.51915
 8.02900 , 10.51965
 8.03000 , 10.52015
 8.03100 , 10.52065
 8.03200 , 10.52115
 8.03300 , 10.52165
 8.03400 , 10.52215
 8.03500 , 10.52265
 8.03600 , 10.52315
 8.03700 , 10.52365
 8.03800 , 10.52415
 8.03900 , 10.52465
 8.04000 , 10.52515
 8.04100 , 10.52565
 8.04200 , 10.52615
 8.04300 , 10.52665
 8.04400 , 10.52715
 8.04500 , 10.52765
 8.04600 , 10.52815
 8.04700 , 10.52865
 8.04800 , 10.52915
 8.04900 , 10.52965
 8.05000 , 10.53015
 8.05100 , 10.53065
 8.05200 , 10.53115
 8.05300 , 10.53165
 8.05400 , 10.53215
 8.05500 , 10.53265
 8.05600 , 10.53315
 8.05700 , 10.53365
 8.05800 , 10.53415
 8.05900 , 10.53465
 8.06000 , 10.53515
 8.06100 , 10.53565
 8.06200 , 10.53615
 8.06300 , 10.53665
 8.06400 , 10.53715
 8.06500 , 10.53765
 8.06600 , 10.53815
 8.06700 , 10.53865
 8.06800 , 10.53915
 8.06900 , 10.53965
 8.07000 , 10.54015
 8.07100 , 10.54065
 8.07200 , 10.54115
 8.07300 , 10.54165
 8.07400 , 10.54215
 8.07500 , 10.54265
 8.07600 , 10.54315
 8.07700 , 10.54365
 8.07800 , 10.54415
 8.07900 , 10.54465
 8.08000 , 10.54515
 8.08100 , 10.54565
 8.08200 , 10.54615
 8.08300 , 10.54665
 8.08400 , 10.54715
 8.08500 , 10.54765
 8.08600 , 10.54815
 8.08700 , 10.54865
 8.08800 , 10.54915
 8.08900 , 10.54965
 8.09000 , 10.55015
 8.09100 , 10.55065
 8.09200 , 10.55115
 8.09300 , 10.55165
 8.09400 , 10.55215
 8.09500 , 10.55265
 8.09600 , 10.55315
 8.09700 , 10.55365
 8.09800 , 10.55415
 8.09900 , 10.55465
 8.10000 , 10.55515
 8.10100 , 10.55565
 8.10200 , 10.55615
 8.10300 , 10.55665
 8.10400 , 10.55715
 8.10500 , 10.55765
 8.10600 , 10.55815
 8.10700 , 10.55865
 8.10800 , 10.55915
 8.10900 , 10.55965
 8.11000 , 10.56015
 8.11100 , 10.56065
 8.11200 , 10.56115
 8.11300 , 10.56165
 8.11400 , 10.56215
 8.11500 , 10.56265
 8.11600 , 10.56315
 8.11700 , 10.56365
 8.11800 , 10.56415
 8.11900 , 10.56465
 8.12000 , 10.56515
 8.12100 , 10.56565
 8.12200 , 10.56615
 8.12300 , 10.56665
 8.12400 , 10.56715
 8.12500 , 10.56765
 8.12600 , 10.56815
 8.12700 , 10.56865
 8.12800 , 10.56915
 8.12900 , 10.56965
 8.13000 , 10.57015
 8.13100 , 10.57065
 8.13200 , 10.57115
 8.13300 , 10.57165
 8.13400 , 10.57215
 8.13500 , 10.57265
 8.13600 , 10.57315
 8.13700 , 10.57365
 8.13800 , 10.57415
 8.13900 , 10.57465
 8.14000 , 10.57515
 8.14100 , 10.57565
 8.14200 , 10.57615
 8.14300 , 10.57665
 8.14400 , 10.57715
 8.14500 , 10.57765
 8.14600 , 10.57815
 8.14700 , 10.57865
 8.14800 , 10.57915
 8.14900 , 10.57965
 8.15000 , 10.58015
 8.15100 , 10.58065
 8.15200 , 10.58115
 8.15300 , 10.58165
 8.15400 , 10.58215
 8.15500 , 10.58265
 8.15600 , 10.58315
 8.15700 , 10.58365
 8.15800 , 10.58415
 8.15900 , 10.58465
 8.16000 , 10.58515
 8.16100 , 10.58565
 8.16200 , 10.58615
 8.16300 , 10.58665
 8.16400 , 10.58715
 8.16500 , 10.58765
 8.16600 , 10.58815
 8.16700 , 10.58865
 8.16800 , 10.58915
 8.16900 , 10.58965
 8.17000 , 10.59015
 8.17100 , 10.59065
 8.17200 , 10.59115
 8.17300 , 10.59165
 8.17400 , 10.59215
 8.17500 , 10.59265
 8.17600 , 10.59315
 8.17700 , 10.59365
 8.17800 , 10.59415
 8.17900 , 10.59465
 8.18000 , 10.59515
 8.18100 , 10.59565
 8.18200 , 10.59615
 8.18300 , 10.59665
 8.18400 , 10.59715
 8.18500 , 10.59765
 8.18600 , 10.59815
 8.18700 , 10.59865
 8.18800 , 10.59915
 8.18900 , 10.59965
 8.19000 , 10.60015
 8.19100 , 10.60065
 8.19200 , 10.60115
 8.19300 , 10.60165
 8.19400 , 10.60215
 8.19500 , 10.60265
 8.19600 , 10.60315
 8.19700 , 10.60365
 8.19800 , 10.60415
 8.19900 , 10.60465
 8.20000 , 10.60515
 8.20100 , 10.60565
 8.20200 , 10.60615
 8.20300 , 10.60665
 8.20400 , 10.60715
 8.20500 , 10.60765
 8.20600 , 10.60815
 8.20700 , 10.60865
 8.20800 , 10.60915
 8.20900 , 10.60965
 8.21000 , 10.61015
 8.21100 , 10.61065
 8.21200 , 10.61115
 8.21300 , 10.61165
 8.21400 , 10.61215
 8.21500 , 10.61265
 8.21600 , 10.61315
 8.21700 , 10.61365
 8.21800 , 10.61415
 8.21900 , 10.61465
 8.22000 , 10.61515
 8.22100 , 10.61565
 8.22200 , 10.61615
 8.22300 , 10.61665
 8.22400 , 10.61715
 8.22500 , 10.61765
 8.22600 , 10.61815
 8.22700 , 10.61865
 8.22800 , 10.61915
 8.22900 , 10.61965
 8.23000 , 10.62015
 8.23100 , 10.62065
 8.23200 , 10.62115
 8.23300 , 10.62165
 8.23400 , 10.62215
 8.23500 , 10.62265
 8.23600 , 10.62315
 8.23700 , 10.62365
 8.23800 , 10.62415
 8.23900 , 10.62465
 8.24000 , 10.62515
 8.24100 , 10.62565
 8.24200 , 10.62615
 8.24300 , 10.62665
 8.24400 , 10.62715
 8.24500 , 10.62765
 8.24600 , 10.62815
 8.24700 , 10.62865
 8.24800 , 10.62915
