   ID1+ ,       RA ,      DEC ,  logK ,  Vls ,    D ,      r1t , Mass_lum
1013939 , 360.0000 ,  -0.0000 , 20.36 ,   26 , 4.84 , 5910.656 ,   23.422
1016697 , 285.1198 , -14.2894 , 13.73 ,  312 , 4.28 ,   16.934 ,   15.792
1013944 , 158.8527 ,  13.2188 , 13.05 ,  156 , 4.41 ,    9.333 ,   15.017
1013938 , 257.0525 ,   0.1662 , 12.55 ,  426 , 1.80 ,    5.736 ,   14.382
1015705 ,  59.6891 , -16.6690 , 12.13 ,  573 , 6.02 ,    3.909 ,   13.883
1021395 , 246.9755 , -49.2376 , 11.65 ,  427 , 6.40 ,    2.622 ,   13.362
1028835 , 168.1297 , -38.4318 , 11.53 ,  355 , 5.26 ,    2.300 ,   13.190
1027811 , 219.7026 ,  34.4676 , 11.45 ,  603 , 7.21 ,    2.209 ,   13.140
1028361 ,  50.2878 ,  22.3696 , 11.16 ,  767 , 8.54 ,    1.737 ,   12.826
1028649 , 354.3822 , -54.2251 , 11.11 ,  767 , 8.80 ,    1.672 ,   12.776
1013951 , 194.8171 , -79.3271 , 11.03 ,  -36 , 0.93 ,    1.569 ,   12.694
1029616 , 115.4588 , -46.8098 , 10.95 ,   63 , 1.77 ,    1.439 ,   12.581
1031300 , 357.8852 , -34.0643 , 10.89 ,  811 , 8.64 ,    1.399 ,   12.544
1033688 , 169.9648 , -17.9150 , 10.63 ,  689 , 9.00 ,    1.151 ,   12.290
1032211 , 105.7856 ,  56.2270 , 10.56 ,  463 , 5.49 ,    1.050 ,   12.170
1033229 , 129.7564 , -45.0838 , 10.53 ,  840 , 9.47 ,    1.044 ,   12.161
1034221 , 123.7733 ,  13.6772 , 10.38 ,  479 , 7.01 ,    0.945 ,   12.033
1031850 , 146.7625 ,  84.8416 , 10.28 ,  659 , 6.46 ,    0.854 ,   11.901
1013946 ,  65.0428 ,  -9.5741 , 10.18 , -120 , 1.07 ,    0.849 ,   11.893
1033371 ,  92.2833 ,  61.2792 , 10.18 ,  330 , 2.72 ,    0.827 ,   11.860
1037375 ,  11.7729 , -32.0004 , 10.04 ,  931 , 9.56 ,    0.745 ,   11.723
1013956 , 247.4527 ,  44.6669 ,  9.58 ,  350 , 0.94 ,    0.715 ,   11.669
1040432 , 329.8614 ,  18.0294 ,  9.91 ,  482 , 3.56 ,    0.707 ,   11.654
1043693 , 198.9074 ,  26.5707 ,  9.65 ,  386 , 5.54 ,    0.663 ,   11.572
1042141 ,  77.9652 ,  45.9703 ,  9.68 ,  756 , 9.63 ,    0.621 ,   11.486
1036576 ,  94.6249 ,  44.5543 ,  9.60 ,  648 , 8.74 ,    0.621 ,   11.486
1041075 ,  11.2102 ,  65.6926 ,  9.73 , -100 , 0.59 ,    0.609 ,   11.459
1041953 ,  51.7491 ,  69.0803 ,  9.48 ,  669 , 7.14 ,    0.539 ,   11.301
1050399 , 328.7297 , -47.4355 ,  9.28 ,  660 , 8.10 ,    0.535 ,   11.292
1044320 , 174.2359 , -28.5061 ,  9.46 ,  778 , 9.68 ,    0.533 ,   11.288
1046052 , 186.7203 ,  14.7098 ,  9.27 ,  516 , 7.92 ,    0.519 ,   11.250
1042845 , 203.1044 ,  73.7000 ,  9.38 ,  619 , 6.76 ,    0.515 ,   11.243
1045047 ,  79.4244 ,  16.2463 ,  9.32 ,  554 , 7.44 ,    0.500 ,   11.204
1047746 , 296.1121 ,  37.1429 ,  9.27 ,  739 , 9.32 ,    0.499 ,   11.201
1045588 , 136.1156 , -40.3228 ,  9.16 ,  694 , 8.20 ,    0.489 ,   11.176
1050390 , 324.4140 , -38.9539 ,  8.98 ,  709 , 9.05 ,    0.450 ,   11.064
1047677 , 335.8063 ,  31.3922 ,  8.64 ,  745 , 8.84 ,    0.410 ,   10.945
1056223 ,  45.8909 ,   2.6879 ,  8.65 ,  854 , 9.52 ,    0.409 ,   10.941
1065766 , 200.6184 ,  54.0750 ,  8.14 ,  412 , 3.92 ,    0.368 ,   10.803
1060211 ,  95.9417 ,  85.7667 ,  8.32 ,  795 , 9.16 ,    0.362 ,   10.782
1051547 , 265.4181 ,  36.7051 ,  8.32 ,  671 , 6.88 ,    0.360 ,   10.775
1085571 , 309.4329 , -53.2062 ,  8.02 ,  404 , 0.82 ,    0.354 ,   10.753
1057637 ,  79.6968 ,  20.5632 ,  8.12 ,  605 , 8.85 ,    0.337 ,   10.690
1061413 , 356.1122 ,  60.5035 ,  7.96 ,  680 , 7.11 ,    0.322 ,   10.631
