col1,	logM,	col3,	col4,	col5,	col6,	col7,	col8,	logN,	Nerr
135,	13.45,	297,	17.2,	8011,	1,	297,	17.2,	2.473,	0.024
136,	13.55,	218,	14.8,	8029,	1,	218,	14.8,	2.338,	0.028
137,	13.65,	163,	12.8,	8111,	1,	163,	12.8,	2.212,	0.033
138,	13.75,	129,	11.4,	7886,	1,	129,	11.4,	2.111,	0.037
139,	13.85,	106,	10.3,	8166,	1,	106,	10.3,	2.025,	0.04
140,	13.95,	68,	8.2,	8239,	1,	68,	8.2,	1.833,	0.05
141,	14.05,	62,	7.9,	8113,	1,	62,	7.9,	1.792,	0.052
142,	14.15,	35,	5.9,	8358,	1,	35,	5.9,	1.544,	0.068
143,	14.25,	20,	4.5,	7964,	1,	20,	4.5,	1.301,	0.088
144,	14.35,	20,	4.5,	7785,	1,	20,	4.5,	1.301,	0.088
145,	14.45,	14,	3.7,	7005,	1,	14,	3.7,	1.146,	0.103
146,	14.55,	13,	3.6,	7822,	1,	13,	3.6,	1.114,	0.106
147,	14.65,	5,	2.2,	8474,	1,	5,	2.2,	0.699,	0.161
148,	14.75,	0,	0,	0,	1,	0,	0,	-1,	1
149,	14.85,	2,	1.4,	7949,	1,	2,	1.4,	0.301,	0.232
150,	14.95,	1,	1,	9282,	1,	1,	1,	0,	0.301
151,	15.05,	1,	1,	5281,	1,	1,	1,	0,	0.301
152,	15.15,	1,	1,	5118,	1,	1,	1,	0,	0.301
153,	15.25,	3,	1.7,	8622,	1,	3,	1.7,	0.477,	0.198
154,	15.35,	0,	0,	0,	1,	0,	0,	nan,	0
155,	15.45,	0,	0,	0,	1,	0,	0,	nan,	0
156,	15.55,	0,	0,	0,	1,	0,	0,	nan,	0
157,	15.65,	0,	0,	0,	1,	0,	0,	nan,	0
158,	15.75,	0,	0,	0,	1,	0,	0,	nan,	0
159,	15.85,	0,	0,	0,	1,	0,	0,	nan,	0
160,	15.95,	0,	0,	0,	1,	0,	0,	nan,	0
