col1,	logM,	col3,	col4,	col5,	col6,	col7,	col8,	logN,	Nerr
110,	10.95,	0,	0,	0,	0,	0,	0,	nan,	0
111,	11.05,	0,	0,	0,	0,	0,	0,	nan,	0
112,	11.15,	0,	0,	0,	0,	0,	0,	nan,	0
113,	11.25,	2,	1.4,	3065,	0,	0,	0.4,	nan,	0
114,	11.35,	9,	3,	3133,	0,	0,	1.8,	nan,	0
115,	11.45,	39,	6.2,	3279,	0,	0,	7.8,	nan,	0
116,	11.55,	91,	9.5,	3526,	0,	0,	18.2,	nan,	0
117,	11.65,	121,	11,	3770,	3.41,	413,	69.4,	nan,	0
118,	11.75,	186,	13.6,	4006,	2.54,	472.6,	67,	nan,	0
119,	11.85,	295,	17.2,	4304,	1.92,	566,	63.4,	nan,	0
120,	11.95,	330,	18.2,	4640,	1.47,	484.8,	40.9,	nan,	0
121,	12.05,	478,	21.9,	4859,	1.14,	545.1,	28.3,	nan,	0
122,	12.15,	561,	23.7,	5059,	1,	561,	23.7,	2.749,	0.018
123,	12.25,	528,	23,	5067,	1,	528,	23,	2.723,	0.019
124,	12.35,	591,	24.3,	5166,	1,	591,	24.3,	2.772,	0.018
125,	12.45,	502,	22.4,	5179,	1,	502,	22.4,	2.701,	0.019
126,	12.55,	441,	21,	5168,	1,	441,	21,	2.644,	0.02
127,	12.65,	366,	19.1,	5110,	1,	366,	19.1,	2.563,	0.022
128,	12.75,	341,	18.5,	5201,	1,	341,	18.5,	2.533,	0.023
129,	12.85,	244,	15.6,	5175,	1,	244,	15.6,	2.387,	0.027
130,	12.95,	172,	13.1,	5160,	1,	172,	13.1,	2.236,	0.032
131,	13.05,	191,	13.8,	5118,	1,	191,	13.8,	2.281,	0.03
132,	13.15,	147,	12.1,	5202,	1,	147,	12.1,	2.167,	0.034
133,	13.25,	105,	10.2,	5173,	1,	105,	10.2,	2.021,	0.04
134,	13.35,	80,	8.9,	5182,	1,	80,	8.9,	1.903,	0.046

