  n         chi2      alfa
 -1   208.000251   -0.5000
  0   207.903322   -0.4974
  1   212.628393   -0.4872
  2   203.588659   -0.5139
  3   193.943239   -0.5492
  4   149.793584   -0.6390
  5   127.149741   -0.6770
  6    95.230829   -0.7559
  7    95.049356   -0.7461
  8    94.352120   -0.7517
  9    94.582036   -0.7572
 10    95.660985   -0.7415
 11    94.879058   -0.7490
 12    94.918067   -0.7458
 13    94.503807   -0.7482
 14    94.390418   -0.7480
 15    94.204695   -0.7601
 16    94.306620   -0.7568
 17    93.813085   -0.7503
 18    94.980714   -0.7492
 19    94.272769   -0.7568
 20    95.470856   -0.7595
 21    93.482752   -0.7463
 22    94.593101   -0.7573
 23    94.830512   -0.7449
 24    94.503807   -0.7482
 25    94.627678   -0.7521
 26    95.219898   -0.7496
 27    94.040467   -0.7511
 28    94.816308   -0.7454
 29    99.568450   -0.7244
 30    94.821588   -0.7454
 31    94.140328   -0.7475
 32    94.026075   -0.7541
 33    98.417014   -0.7655
 34    98.657564   -0.7259
 35    96.669511   -0.7623
 36    99.295820   -0.7290
 37    98.649020   -0.7319
 38    96.539248   -0.7380
 39    94.535647   -0.7571
 40    98.112030   -0.7304
 41    94.816308   -0.7454
 42    94.505528   -0.7550
 43    94.816308   -0.7453
 44    95.423127   -0.7592
 45    49.052637   -0.8757
 46    28.809541   -0.8972
 47    18.048146   -0.9471
 48     8.345112   -0.9425
 49     8.028829   -0.9419
 50     8.759020   -0.9432
 51    10.454205   -0.9342
 52     8.016305   -0.9417
 53     8.754265   -0.9360
 54     7.509873   -0.9383
 55    10.527630   -0.9341
 56     9.684037   -0.9440
 57     8.302707   -0.9364
 58     8.267865   -0.9365
 59     7.703053   -0.9375
 60    15.108653   -0.9308
 61    11.868637   -0.9452
 62     8.893066   -0.9357
 63     8.537291   -0.9362
 64     8.790637   -0.9358
 65     9.844560   -0.9348
 66     8.213466   -0.9424
 67     7.755927   -0.9414
 68     8.016305   -0.9417
 69     7.487580   -0.9380
 70    10.799123   -0.9447
 71     7.546030   -0.9381
 72     7.687591   -0.9374
 73     7.322413   -0.9394
 74     7.487580   -0.9381
 75     7.595814   -0.9408
 76     7.378917   -0.9401
 77     8.267865   -0.9365
 78     7.533625   -0.9378
 79     7.364277   -0.9400
 80     7.638366   -0.9411
 81     7.355742   -0.9403
 82     7.343853   -0.9389
 83     8.992181   -0.9356
 84    10.182015   -0.9344
 85     9.844560   -0.9348
 86     8.580734   -0.9430
 87     7.487580   -0.9380
 88     7.748240   -0.9414
 89    10.467496   -0.9445
 90     7.472198   -0.9383
 91     7.372390   -0.9400
 92     8.345112   -0.9425
 93     7.365279   -0.9401
 94     7.306398   -0.9394
 95     7.638366   -0.9411
 96    18.503545   -0.9282
 97    11.812637   -0.9329
 98     9.512863   -0.9438
 99    12.302963   -0.9323
100    10.625845   -0.9339
101    13.272872   -0.9319
102    10.625845   -0.9339
103    10.659137   -0.9446
104    13.367418   -0.9318
105     7.999869   -0.9368
106     7.373591   -0.9387
107     7.300315   -0.9394
108    10.833585   -0.9448
109     7.999869   -0.9368
110     7.756617   -0.9373
111    10.758991   -0.9338
112     7.365279   -0.9401
113    13.464260   -0.9458
114    12.184301   -0.9325
115     8.790637   -0.9358
116     9.701240   -0.9350
117     7.364277   -0.9399
118    10.118087   -0.9345
119    11.755430   -0.9329
120     7.493879   -0.9379
121     7.404895   -0.9386
122     7.472198   -0.9383
123     7.534935   -0.9381
124     9.361330   -0.9436
125     8.828809   -0.9359
126     7.351729   -0.9389
127     7.354040   -0.9388
128     8.408090   -0.9363
129     7.539744   -0.9381
130     7.703053   -0.9375
131     8.580734   -0.9431
132     8.114236   -0.9420
133     8.124920   -0.9421
134     8.430474   -0.9362
135     7.728710   -0.9373
136     7.371092   -0.9402
137     7.371092   -0.9402
138     7.354040   -0.9387
139     8.345112   -0.9425
140     7.343667   -0.9391
141     7.595814   -0.9408
142    13.804862   -0.9315
143    11.995833   -0.9326
144     7.505864   -0.9379
145     7.849858   -0.9415
146     7.682832   -0.9413
147     7.661814   -0.9412
148     8.028829   -0.9419
149     7.271282   -0.9396
150     7.265630   -0.9397
151     7.622210   -0.9377
152    10.625845   -0.9340
153    10.317123   -0.9445
154     8.860029   -0.9358
155     8.952884   -0.9356
156     7.483850   -0.9380
157     7.373591   -0.9386
158     8.563682   -0.9429
159     9.361330   -0.9437
160     7.355742   -0.9403
161     8.768442   -0.9432
162     8.005714   -0.9419
163     8.759020   -0.9432
164     8.546864   -0.9429
165    10.430558   -0.9445
166     7.373591   -0.9387
167     9.868972   -0.9348
168    10.937328   -0.9335
169     8.124920   -0.9421
170     7.294288   -0.9394
171     7.333637   -0.9392
172     7.440028   -0.9385
173     7.265630   -0.9397
174     7.500373   -0.9383
175     8.114236   -0.9420
176     8.019411   -0.9419
177     7.595814   -0.9408
178     7.794373   -0.9372
179     8.425236   -0.9363
180     8.438203   -0.9427
181     7.533625   -0.9378
182     8.169954   -0.9423
183    10.017273   -0.9346
184     9.306244   -0.9436
185     9.684037   -0.9440
186    13.970702   -0.9314
187    19.650753   -0.9478
188     7.464053   -0.9406
189    11.954351   -0.9452
190    12.314599   -0.9455
191     7.633728   -0.9410
192    10.454205   -0.9342
193     7.265630   -0.9397
194     8.572179   -0.9430
195    10.555075   -0.9446
196     8.140957   -0.9366
197     8.114236   -0.9421
198     7.808622   -0.9371
199     7.306398   -0.9394
