 n           chi2      M_L0      M_L1      M_L2      M_L3      M_L4      M_L5      M_L6      M_L7      M_L8      M_L9     M_L10     M_L11     M_L12     M_L13     M_L14     M_L15      M_L16      M_L17      M_L18      M_L19      M_L20      M_L21      M_L22       M_L23       M_L24
-1   20729.087778   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   34.8859   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   239.9661   320.0000   426.7269   569.0494    758.8396   1011.9289
 0   20423.624102   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   34.8859   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   239.9661   320.0000   426.7269   569.0494   4835.5511   1011.9289
 1   20422.193657   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   239.9661   320.0000   426.7269   569.0494   4835.5511   1011.9289
 2   20422.193657   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   239.9661   320.0000   426.7269   569.0494   4835.5511   1011.9289
 3   20422.193657   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   127.8435   320.0000   426.7269   569.0494   4835.5511   1011.9289
 4   20422.193657   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   127.8435   320.0000   426.7269   569.0494   4835.5511   1304.0216
 5   19727.303868   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   38.0321   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   127.8435   320.0000   426.7269   569.0494   6207.0269   1304.0216
 6   18982.270166   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   20.9702   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   134.9429   179.9492   127.8435   320.0000   426.7269   569.0494   6207.0269   1304.0216
 7   16463.909406   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   20.9702   33.3360   32.0000   42.6727   56.9049   75.8840   101.1929   177.1383   179.9492   127.8435   320.0000   426.7269   569.0494   6207.0269   1304.0216
 8   16131.339966   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   41.4620   20.9702   26.2348   32.0000   42.6727   56.9049   75.8840   101.1929   177.1383   179.9492   127.8435   320.0000   426.7269   569.0494   6207.0269   1304.0216
 9   14433.991937   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   35.4786   20.9702   26.2348   32.0000   42.6727   56.9049   75.8840   101.1929   177.1383   179.9492   127.8435   320.0000   426.7269   569.0494   6207.0269   1304.0216
10   14433.991937   90.1883   82.7275   75.8840   69.6065   63.8484   58.5666   53.7217   49.2776   45.2012   35.4786   20.9702   26.2348   32.0000   42.6727   56.9049   75.8840   101.1929   177.1383   179.9492   127.8435   320.0000   183.2230   569.0494   6207.0269   1304.0216
