# group_id d_radial[kpc] v_radial[km/s] RA Dec MAG_B MAG_K
0 42370.507812 2774.950684 100.626915 -45.663139 -24.448215 -28.214746
0 42534.277344 2909.411621 103.659851 -49.539627 -22.611546 -26.499897
0 44033.238281 1950.612061 100.819580 -46.419022 -22.065178 -25.958813
0 42695.828125 1642.298096 99.771507 -45.593716 -22.360985 -26.292606
0 43493.136719 1702.399536 100.284271 -46.207653 -21.868982 -25.814308
0 45609.531250 2758.647217 100.666138 -48.862453 -21.506407 -25.463886
0 41465.441406 3000.825684 98.890343 -43.859352 -21.231735 -25.068266
0 45283.265625 2567.377197 102.277290 -48.366146 -20.734545 -24.474823
0 42289.824219 3173.275635 104.779655 -50.270416 -21.261328 -25.233156
0 42591.132812 1950.806152 100.938339 -45.796764 -21.635118 -25.745955
0 43781.843750 2794.530273 99.101501 -46.598698 -21.359940 -25.236057
0 40584.632812 2561.992676 98.859871 -44.065845 -20.900120 -24.963472
0 43576.148438 1730.935791 99.503654 -45.992805 -21.992264 -25.486944
0 42062.093750 3077.964111 101.990578 -43.720619 -20.560038 -24.501026
0 41236.257812 3031.204346 98.999779 -46.762730 -20.595339 -24.516352
0 44114.644531 2005.688721 100.765656 -46.500629 -21.016626 -25.138359
0 42398.011719 2737.801758 101.910072 -46.274891 -20.961988 -25.001587
0 42558.589844 2874.714600 102.954422 -49.731487 -20.769897 -24.824554
0 42584.156250 3186.002686 104.667480 -50.768116 -21.409996 -24.579897
0 41612.882812 3182.916016 99.359810 -46.783302 -20.627863 -24.598824
0 41821.699219 2659.969971 100.141586 -45.868057 -20.542343 -24.601490
0 43792.074219 2099.252441 98.490593 -48.398617 -20.807106 -24.275642
0 40612.632812 2584.490234 101.026077 -45.529881 -20.851171 -24.285364
0 43424.695312 2526.241211 102.580795 -49.262333 -20.461380 -23.465046
0 41194.527344 3273.704834 99.341324 -46.551022 -20.278278 -24.184259
0 42761.761719 2173.799805 100.262550 -44.998699 -20.243608 -24.248898
0 42134.089844 3057.640137 101.895378 -49.320160 -20.707186 -23.777159
0 40077.527344 3356.096191 98.203072 -44.143326 -20.690111 -23.805408
0 43075.257812 2515.983154 105.387779 -49.732372 -20.343079 -23.547197
0 44114.984375 3476.862061 99.925461 -44.496090 -20.690540 -24.044664
0 41032.250000 2488.262695 99.012939 -46.700275 -20.791065 -23.959429
0 43309.898438 3461.100098 100.845032 -45.733173 -20.165516 -24.135424
0 42336.917969 1547.978027 101.570671 -46.306870 -20.616499 -23.929810
0 44248.562500 1790.866699 99.846962 -45.339020 -20.302008 -23.428375
0 43924.261719 3407.354004 101.172592 -44.371811 -20.585295 -23.866674
0 42130.253906 3147.155273 100.158371 -44.345798 -19.506138 -23.477436
0 41577.410156 3330.940430 105.259033 -50.090603 -20.891335 -23.822849
0 40754.714844 2146.820068 100.836456 -43.544209 -19.690048 -23.338833
0 42641.664062 2747.318848 103.275230 -47.103844 -19.220531 -23.080393
0 40702.371094 3342.309814 99.422684 -43.409134 -20.466639 -23.292858
0 42613.167969 2749.401367 102.774277 -46.943268 -19.524315 -23.344284
0 45889.195312 2346.702148 101.166588 -47.536903 -20.229460 -22.784792
0 42262.144531 2723.772949 105.740593 -50.142868 -20.025366 -23.320093
0 43421.308594 2836.453125 102.770744 -45.537640 -20.052553 -23.394972
0 43656.691406 1799.045410 98.488708 -47.836109 -19.936155 -23.425207
0 42371.492188 3180.410400 100.524963 -45.593540 -19.686590 -23.842762
0 43547.128906 1560.143066 102.036285 -45.328911 -20.566441 -23.724178
0 45972.234375 2657.789062 102.664474 -48.761791 -20.109974 -23.137026
0 42253.281250 3002.862061 104.381760 -50.345341 -19.981131 -23.169365
0 44573.589844 2342.071777 99.986923 -45.446716 -20.428337 -23.412434
0 44595.414062 2317.791260 101.936852 -45.692822 -20.172798 -23.145250
0 41591.132812 3326.603027 99.251884 -47.357475 -19.022327 -22.899187
0 43877.632812 1967.217041 100.816071 -45.913490 -19.402985 -23.315821
0 41769.960938 1804.329102 101.285240 -46.481831 -20.293367 -23.363279
0 41266.308594 2288.195557 101.299980 -43.304905 -19.220453 -22.717743
0 42865.347656 2402.089600 103.269394 -49.363422 -20.113403 -23.015368
0 42197.816406 2463.805176 102.817047 -49.637775 -19.960556 -22.763533
0 43838.019531 1693.489502 98.736061 -44.753002 -19.634922 -22.668575
0 44898.597656 3174.395752 101.398468 -46.731476 -19.544123 -23.342653
0 41619.347656 3068.759766 98.534554 -43.677711 -19.798277 -23.172218
0 44443.136719 2626.517822 102.942657 -48.265591 -19.484587 -22.152050
0 42127.121094 3141.376709 101.901924 -50.286438 -19.452774 -22.278509
0 42525.605469 2526.582275 105.247620 -49.852489 -19.363102 -22.727804
0 42339.101562 2992.049805 101.513031 -45.494461 -19.343275 -23.430960
0 41859.312500 3375.592041 100.252647 -45.042889 -19.283005 -23.201717
0 44840.156250 1923.499023 100.506027 -46.895905 -19.505548 -22.858620
0 42544.832031 2714.882812 103.641739 -49.514244 -20.102802 -23.701202
0 43575.980469 3115.421143 101.654091 -44.623707 -19.439493 -22.862726
0 42596.429688 2657.969482 101.168091 -45.730499 -19.201225 -23.250381
0 42902.593750 2738.642578 101.844353 -45.901005 -20.184195 -23.026499
0 42701.589844 3216.510742 104.265053 -50.693970 -19.439695 -22.636530
0 44408.054688 1845.590088 99.324219 -45.398769 -19.647251 -22.423246
0 42785.742188 2367.541016 103.206909 -48.833466 -19.593693 -22.554565
0 43621.519531 2815.976074 103.019646 -47.554733 -18.935280 -22.640736
0 44301.394531 3192.958252 103.519936 -48.035221 -18.664282 -22.369944
0 42510.222656 2103.441650 100.585701 -45.656704 -19.161650 -23.210108
0 44139.890625 2990.089600 101.470535 -46.739605 -18.669512 -22.358475
0 42662.636719 3047.553955 102.905327 -49.783886 -18.933878 -22.611057
0 44201.300781 2787.171143 101.627060 -47.235695 -18.743597 -22.494707
0 43219.710938 2287.979004 100.044266 -47.753994 -19.474960 -22.275333
0 42800.164062 3265.820312 100.326233 -45.223454 -18.808449 -22.631264
0 45125.578125 2271.408691 102.298729 -48.192932 -19.697027 -22.795191
0 42210.218750 2787.672607 102.533600 -50.467888 -19.024748 -21.822641
0 43188.968750 2467.089355 103.179176 -48.424435 -18.938717 -21.586491
0 41933.378906 3340.437256 101.098175 -47.250530 -19.402586 -22.003056
0 43298.039062 2559.144287 102.334068 -50.069225 -19.188200 -21.931490
0 44418.714844 2354.110107 100.686371 -48.116829 -18.924444 -22.388880
0 43649.761719 2708.099609 101.511963 -45.996452 -19.054384 -22.303738
0 44028.085938 2147.665527 100.682472 -46.405239 -19.720453 -23.367064
0 43030.824219 1934.712036 102.717140 -46.932583 -19.108351 -21.713610
0 44161.761719 2048.704102 101.482704 -45.297981 -18.232265 -21.901184
0 43666.585938 2028.184570 99.316010 -46.213554 -19.205788 -22.931261
0 42590.246094 2943.912109 104.456360 -50.449203 -19.276121 -22.122515
0 43030.062500 2006.088135 101.253120 -48.246452 -19.034384 -22.241091
0 43903.707031 2151.951416 101.317764 -47.235992 -19.244930 -22.793900
0 41974.371094 2933.282715 105.925194 -50.176254 -18.597389 -22.108027
0 41836.902344 3389.604980 100.529060 -45.306713 -19.788134 -22.710674
0 42045.800781 3071.908936 102.734726 -48.888844 -18.915720 -22.029039
0 43292.207031 1841.493408 100.972054 -44.856205 -19.294054 -21.762230
0 41417.390625 1988.187378 99.866058 -43.632687 -17.320051 -20.948374
0 44536.878906 2123.871582 98.980934 -44.448101 -18.111891 -20.947294
0 41154.484375 2602.697754 98.584793 -46.056366 -18.043495 -21.742571
0 43234.050781 2561.887451 100.910492 -46.948101 -18.475220 -22.171406
0 42286.707031 2612.715576 100.968307 -45.963982 -18.694571 -22.728823
0 42836.078125 2437.416016 104.267403 -50.241863 -18.078032 -21.489727
0 41422.683594 2942.946045 97.374741 -44.121101 -18.364738 -21.946215
