n, chi2, alfa, beta, gama
-1, 3.531191, 4.0000, 0.8300, -0.4100
0, 3.878050, 4.0614, 0.8221, -0.4509
1, 5.542463, 3.9122, 0.8711, -0.4576
2, 4.295930, 4.2767, 0.7934, -0.4168
3, 4.628512, 4.0770, 0.8318, -0.3430
4, 3.525785, 3.8003, 0.8698, -0.4061
5, 3.583027, 3.7316, 0.8757, -0.3802
6, 4.375685, 4.8165, 0.7180, -0.5078
7, 7.513764, 4.4438, 0.8531, -0.1996
8, 4.947720, 4.0358, 0.8658, -0.2646
9, 5.595330, 3.9654, 0.7946, -0.4464
10, 5.433086, 4.5747, 0.7725, -0.3522
11, 19.056959, 4.0486, 0.7311, -0.3948
12, 19.586787, 6.2347, 0.8255, -0.2596
13, 5.016240, 4.4978, 0.7742, -0.3808
14, 5.269134, 3.9963, 0.8338, -0.3453
15, 5.278709, 4.2032, 0.8212, -0.4668
16, 4.901535, 4.2521, 0.8318, -0.2872
17, 4.145258, 3.9469, 0.8539, -0.3428
18, 5.461735, 3.5659, 0.8807, -0.3533
19, 5.778627, 3.9988, 0.8577, -0.4495
20, 7.209036, 4.3110, 0.8033, -0.5317
21, 5.555914, 4.9878, 0.8605, -0.2193
22, 4.515639, 4.2516, 0.8219, -0.3407
23, 6.796836, 3.6500, 0.9003, -0.4649
24, 7.765410, 3.6679, 0.8119, -0.4178
25, 4.370571, 3.6308, 0.8802, -0.4509
26, 5.315019, 3.8337, 0.8922, -0.3213
27, 5.013571, 3.5571, 0.9055, -0.3279
28, 5.103396, 4.2441, 0.8179, -0.3966
29, 5.192739, 4.3476, 0.7733, -0.4122
30, 6.474120, 3.3464, 0.9053, -0.4302
31, 5.550836, 4.2661, 0.8006, -0.5154
32, 4.320814, 3.4887, 0.9073, -0.3779
33, 6.089315, 4.6522, 0.7275, -0.4173
34, 6.236009, 5.2697, 0.6653, -0.4913
35, 3.750878, 4.0932, 0.7957, -0.4869
36, 4.912863, 4.4666, 0.7695, -0.4335
37, 5.595190, 4.6269, 0.9063, -0.2194
38, 8.929818, 5.0935, 0.7324, -0.3649
39, 7.763965, 4.2746, 0.8352, -0.3542
40, 8.370984, 4.4304, 0.7254, -0.4353
41, 3.376724, 3.6362, 0.9002, -0.3886
42, 3.442235, 3.5636, 0.9080, -0.4104
43, 7.707689, 3.3368, 0.8961, -0.3927
