n, chi2, alfa, beta, gama
-1, 59.776284, 3.2500, 0.8700, -0.6000
0, 40.126831, 3.2714, 0.8869, -0.5686
1, 8.101597, 3.3657, 0.9072, -0.4601
2, 12.790943, 3.4573, 0.8610, -0.5026
3, 11.445101, 3.6041, 0.8796, -0.5059
4, 7.365300, 3.6909, 0.8360, -0.4001
5, 3.405640, 3.8311, 0.8566, -0.4313
6, 5.595251, 3.8846, 0.8182, -0.3948
7, 5.926416, 3.9140, 0.7852, -0.4921
8, 4.086454, 3.8895, 0.8638, -0.3365
9, 4.177764, 3.9104, 0.8433, -0.3822
10, 4.720951, 3.7287, 0.8801, -0.3375
11, 4.301320, 3.6158, 0.9050, -0.3285
12, 3.805909, 3.6092, 0.8800, -0.3773
13, 3.753839, 3.6273, 0.8759, -0.3762
14, 4.696335, 3.5717, 0.8626, -0.4290
15, 5.088188, 3.6508, 0.9105, -0.3800
16, 4.511587, 3.7174, 0.9045, -0.3236
17, 9.203719, 3.7071, 0.8590, -0.3122
18, 3.708184, 3.7611, 0.8726, -0.4192
19, 3.825693, 3.8438, 0.8304, -0.4494
20, 4.170622, 3.8305, 0.8682, -0.4240
21, 4.115721, 3.8891, 0.8331, -0.3933
22, 4.815414, 3.8456, 0.8582, -0.4762
23, 6.650972, 3.8861, 0.7959, -0.4962
24, 4.277264, 3.9264, 0.8704, -0.3491
25, 5.437839, 4.0053, 0.8657, -0.3982
26, 4.593742, 4.0619, 0.7915, -0.4307
27, 4.742010, 3.8625, 0.8753, -0.4495
28, 5.094724, 3.7370, 0.9052, -0.2720
29, 8.620665, 3.5496, 1.0115, -0.2220
30, 6.324244, 3.6286, 0.9295, -0.2290
31, 3.493090, 3.6310, 0.9033, -0.3664
32, 3.356637, 3.6161, 0.8837, -0.3905
33, 3.653023, 3.6670, 0.8987, -0.3991
34, 4.143413, 3.6988, 0.8565, -0.3918
35, 4.227650, 3.8156, 0.8322, -0.4075
36, 4.602174, 3.8542, 0.8664, -0.4578
37, 4.498961, 3.7876, 0.8671, -0.4660
38, 4.707774, 3.8360, 0.8757, -0.3127
39, 3.514588, 3.9148, 0.8471, -0.3950
40, 3.578021, 3.9959, 0.8210, -0.4279
41, 4.708598, 4.0604, 0.8447, -0.4066
42, 6.851324, 4.1582, 0.7620, -0.4528
43, 5.000158, 4.2108, 0.8181, -0.4081
44, 5.925369, 4.2441, 0.7764, -0.4008
45, 4.992723, 4.1133, 0.8094, -0.3846
46, 4.205846, 4.1042, 0.8303, -0.4189
47, 6.166095, 4.2201, 0.7821, -0.3747
48, 6.374329, 4.2463, 0.7633, -0.4305
49, 4.904262, 4.3863, 0.8830, -0.2242
50, 5.796968, 4.2829, 0.8471, -0.2924
51, 5.059364, 4.2631, 0.9111, -0.2054
52, 5.494479, 4.2655, 0.9201, -0.2063
53, 6.211563, 4.2377, 0.8362, -0.2702
54, 5.563170, 4.3469, 0.8657, -0.2192
55, 5.054690, 4.2986, 0.8408, -0.2742
56, 5.148487, 4.3779, 0.8341, -0.2799
57, 4.724795, 4.2896, 0.7967, -0.3700
58, 6.568090, 4.1355, 0.8029, -0.3574
59, 7.925544, 4.1800, 0.8031, -0.3254
60, 7.852589, 4.1374, 0.8715, -0.2993
61, 7.047865, 4.2560, 0.8726, -0.2056
62, 6.742093, 4.2751, 0.9142, -0.2416
63, 5.041353, 4.0958, 0.9143, -0.2186
64, 5.971724, 4.0088, 0.9256, -0.2254
65, 12.523945, 3.7748, 0.8466, -0.2953
66, 8.073665, 3.7094, 0.8593, -0.3219
67, 9.369277, 3.7968, 1.0129, -0.2195
68, 11.009673, 3.9323, 0.9742, -0.1581
69, 5.815817, 3.9548, 0.9371, -0.2080
70, 4.404104, 3.9240, 0.8504, -0.3424
71, 4.309840, 3.7994, 0.8453, -0.3858
72, 3.878843, 3.7394, 0.8847, -0.4102
73, 3.567847, 3.7961, 0.8457, -0.4138
74, 4.258692, 3.7894, 0.8921, -0.3569
75, 4.532566, 3.6910, 0.8906, -0.3350
76, 6.818366, 3.7069, 0.9846, -0.1940
77, 9.230453, 3.7123, 1.0431, -0.1633
78, 9.455392, 3.7400, 0.9937, -0.1642
79, 5.519851, 3.7684, 0.9269, -0.2324
80, 5.097011, 3.7269, 0.9189, -0.2457
81, 8.072682, 3.8416, 0.8620, -0.2883
82, 6.956736, 3.7648, 0.8951, -0.4418
83, 3.358174, 3.6279, 0.8657, -0.4311
84, 4.309261, 3.7270, 0.8524, -0.3868
85, 4.424135, 3.5900, 0.8654, -0.3845
86, 3.361614, 3.6642, 0.8761, -0.3956
87, 4.307254, 3.6826, 0.8522, -0.3907
88, 4.987790, 3.8189, 0.8717, -0.3159
89, 5.975421, 3.8306, 0.7959, -0.4744
90, 3.785431, 4.0372, 0.8345, -0.4169
91, 4.159960, 4.0726, 0.8221, -0.4642
92, 7.292238, 4.0116, 0.7798, -0.4393
93, 3.752210, 4.0802, 0.8016, -0.4834
94, 3.837013, 4.0501, 0.8311, -0.4213
95, 6.121822, 3.9858, 0.7767, -0.5033
96, 5.669019, 3.8624, 0.8041, -0.4556
97, 7.655429, 3.9587, 0.8313, -0.3347
